czech,english
nalodit se,board,,
pocit,sensation,,
příchod,arrival,,
příjemně,pleasantly,,
ostuda,shame,,
přívětivost,friendliness,,
vlastnit,possess,,
mělký,shallow,,
zdvořile,politely,,
majetek,possession,,
přivlastňovací,possessive,,
politika,policy,,
směle,boldly,,
pól,pole,,
mráz,frost,,
zmrazené,frozen,,
možnost,possibility,,
odvážné,bold,,
politik,politician,,
jedovatý,poisonous,,
znečišťující látka,pollutant,,
tvar,shape,,
popcorn,popcorn,,
šipka,arrow,,
hanebný,shameful,,
svobodně,freely,,
mrazák,freezer,,
rybník,pond,,
zmrazení,freezing,,
pozitivní,positive,,
časté,frequent,,
frekvence,frequency,,
prvňáček,freshman,,
bomba,bomb,,
pozitivně,positively,,
frustrovaný,frustrated,,
frustrace,frustration,,
smažit,fry,,
vybavit nábytkem,furnish,,
hojnost,plenty,,
vážně,severely,,
vzdálenější,further,,
umělec,artist,,
dále,furthermore,,
nejdále,furthest,,
povyk,fuss,,
těžké,severe,,
zisk,gain,,
