czech,english,block_id,
ženich,groom,,
přízemí,ground floor,,
krvácet,bleed,,
úzkost,anxiety,,
pauza,pause,,
kytarista,guitarist,,
vzor,pattern,,
částečný úvazek,part-time,,
základní škola,primary school,,
házená,handball,,
ruční,hand-held,,
zejména,particularly,,
primitivní,primitive,,
křičet,scream,,
držadlo,handle,,
účastnit se,participate,,
účastník,participant,,
částečný,partial,,
podání ruky,handshake,,
zatloukat,hammer,,
především,primarily,,
vášeň,passion,,
kněz,priest,,
úzkostlivě,anxiously,,
hlídka,patrol,,
sochařství,sculpture,,
předchozí,previous,,
tělocvična,gym,,
gymnastika,gymnastics,,
pozdrav,greeting,,
trpělivost,patience,,
přes,past,,
obviňovat,blame,,
heslo,password,,
kadeřník,hairdresser,,
pas,passport,,
fén,hairdryer,,
pasivní,passive,,
stanoviště,habitat,,
frázové sloveso,phrasal verb,,
smíchat,blend,,
dárek,present,,
gorila,gorilla,,
drby,gossip,,
přesvědčit,persuade,,
přesvědčivý,persuasive,,
řídit,govern,,
vybrat,select,,
