czech,english,block_id,
strašit,haunt,,
doufejme,hopefully,,
nenávist,hatred,,
kyčle,hip,,
cena,prize,,
jinak,otherwise,,
prominentní,prominent,,
léčit,heal,,
léčení,healing,,
líbánky,honeymoon,,
Atlantik,Atlantic,,
dlužit,owe,,
slibovat,promise,,
spolužák,schoolmate,,
historický,historical,,
pánev,saucepan,,
bolestivé,painful,,
titulek,headline,,
atletický,athletic,,
přepracování,overwork,,
historický,historic,,
poměr,proportion,,
odpadkový koš,bin,,
historik,historian,,
učitel,schoolteacher,,
sken,scan,,
účtovat,bill,,
předškolní,preschool,,
škrábnutí,scratch,,
obvykle,generally,,
generovat,generate,,
zasedání,session,,
štědrý,generous,,
prostý,plain,,
sloužit,service,,
genetický,genetic,,
genetika,genetics,,
geneticky,genetically,,
umístit,place,,
stranou,aside,,
server,server,,
jáma,pit,,
zahanbený,ashamed,,
gentleman,gentleman,,
gen,gene,,
potenciální,potential,,
platforma,platform,,
zahrádkářství,gardening,,
