czech,english,block_id,grammar_chunk_id
životopis,biography,,
sluch,hearing,,
příloha,attachment,,
psanec,outlaw,,
podšálek,saucer,,
balení,packing,,
atomový,atomic,,
načrtnout,outline,,
pokračovat,proceed,,
biologie,biology,,
neaktuální,out-of-date,,
povýšit,promote,,
povýšení,promotion,,
bezmocný,helpless,,
čestně,honestly,,
výrobce,producer,,
poctivost,honesty,,
prokrastinace,procrastination,,
majetek,property,,
vydatný,hearty,,
balík,package,,
biochemie,biochemistry,,
nicméně,anyhow,,
nebe,heaven,,
