czech,english,,
výběr,selection,,
guvernér,governor,,
talár,gown,,
přednost,preference,,
urvat,grab,,
osobně,personally,,
elegantní,graceful,,
přiřadit,assign,,
úkol,assignment,,
nádherný,gorgeous,,
zabavit,seize,,
přízrak,phantom,,
lékárna,pharmacy,,
sláva,glory,,
fotokopie,photocopy,,
modlitba,prayer,,
brankář,goalkeeper,,
drahocenný,precious,,
bohyně,goddess,,
fénix,phoenix,,
filozofie,philosophy,,
hráč golfu,golfer,,
starožitnost,antique,,
samoobsluha,self-service,,
filozof,philosopher,,
jev,phenomenon,,
dobrota,goodness,,
sobecký,selfish,,
předpona,prefix,,
těhotná,pregnant,,
absolvent,graduate,,
graf,graph,,
grafický,graphic,,
grafika,graphics,,
zajistit,secure,,
zabezpečení,security,,
vděčnost,gratitude,,
hrob,grave,,
omáčka,gravy,,
roleta,blind,,
předpis,prescription,,
žehnat,bless,,
požehnání,blessing,,
pomocný,assistant,,
antonymum,antonym,,
přítomnost,presence,,
předložka,preposition,,
připravený,prepared,,
