czech,english,block_id,grammar_chunk_id
profesor,professor,,
pracovitý,hard-working,,
původ,origin,,
skrytý,hidden,,
skórovat,score,,
přes noc,overnight,,
strádání,hardship,,
paralyzovat,paralyse,,
bilingvní,bilingual,,
výtisk,print,,
organizace,organisation,,
přístav,harbour,,
spokojenost,satisfaction,,
satelit,satellite,,
přešťastný,overjoyed,,
profese,profession,,
poklop,hatch,,
spokojený,satisfied,,
vnější,outward,,
bez domova,homeless,,
srdceryvný,hearted,,
učenec,scholar,,
stipendium,scholarship,,
infarkt,heart attack,,
