czech,english,,
bez peněz,penniless,,
udělit,grant,,
trvalý,permanent,,
trvale,permanently,,
promoce,graduation,,
umělec,performer,,
blogger,blogger,,
skleník,greenhouse,,
předsudek,prejudice,,
procent,per cent,,
pomoc,assistance,,
příprava,preparation,,
zablokovat,block,,
ubytovna,hostel,,
kaše,mash,,
prosperovat,prosper,,
prosperující,prosperous,,
měsíční,monthly,,
malina,raspberry,,
liga,league,,
netvor,monster,,
naklánět se,lean,,
opakovaně,repeatedly,,
skok,leap,,
mnich,monk,,
monitor,monitor,,
splatit,repay,,
kontrolovat,monitor,,
dovolená,leave,,
přednáška,lecture,,
zavazadla,baggage,,
molekula,molecule,,
koupat se,bathe,,
památka,monument,,
právní,legal,,
vedoucí,leading,,
vedení,leadership,,
komár,mosquito,,
smích,laughter,,
vypustit,launch,,
oznámit,report,,
zákonný,lawful,,
klepat,rap,,
rychlý,rapid,,
ležet,lay,,
navíc,moreover,,
vrstva,layer,,
slanina,bacon,,
