czech,english,block_id,
připojit,attach,,
rodičovský,parental,,
obyčejný,ordinary,,
vyděšený,scared,,
vyděsit,scare,,
pověsit,hang,,
závěsný,hanging,,
řád,order,,
spořádaný,orderly,,
vysoce,highly,,
překonat,overcome,,
vyzdvihnout,highlight,,
pokrok,progress,,
šikovný,handy,,
parkoviště,parking,,
skus,bite,,
naprogramovat,programme,,
organismus,organism,,
děsit,horrify,,
profesor,professor,,
pracovitý,hard-working,,
původ,origin,,
skrytý,hidden,,
skórovat,score,,
helma,helmet,,
prohlásit,proclaim,,
ohřívač,heater,,
zájmeno,pronoun,,
kyslík,oxygen,,
svatý,holy,,
scénický,scenic,,
správně,properly,,
proces,process,,
atmosféra,atmosphere,,
ohromující,overwhelming,,
pádlo,paddle,,
nebezpečí,hazard,,
najmout,hire,,
vynikající,outstanding,,
stádo,herd,,
rozptyl,scatter,,
děsivý,scary,,
bledý,pale,,
vnější,outer,,
dlaň,palm,,
nadějný,hopeful,,
dosáhnout,attain,,
pravděpodobnost,probability,,
