czech,english,block_id,
talíř,plate,,
moc,might,,
vyslovit,pronounce,,
soucit,pity,,
atraktivní,attractive,,
spravedlivý,fair,,
polední,midday,,
výslovnost,pronunciation,,
bohužel,unfortunately,,
pilot,pilot,,
progresivní,progressive,,
silný,powerful,,
vojenský,military,,
plast,plastic,,
publikovat,publish,,
oficiální,official,,
moudrost,wisdom,,
moudrý,wise,,
postroj,harness,,
nadávat,scold,,
ráj,paradise,,
výrobní,productive,,
rozsah,scope,,
beznadějný,hopeless,,
přes noc,overnight,,
strádání,hardship,,
paralyzovat,paralyse,,
bilingvní,bilingual,,
výtisk,print,,
organizace,organisation,,
přístav,harbour,,
spokojenost,satisfaction,,
satelit,satellite,,
přešťastný,overjoyed,,
profese,profession,,
poklop,hatch,,
spokojený,satisfied,,
bez domova,homeless,,
srdceryvný,hearted,,
učenec,scholar,,
stipendium,scholarship,,
infarkt,heart attack,,
životopis,biography,,
sluch,hearing,,
příloha,attachment,,
psanec,outlaw,,
podšálek,saucer,,
balení,packing,,
