czech,english,block_id,grammar_chunk_id
slibovat,promise,,
spolužák,schoolmate,,
historický,historical,,
dlužno,owing,,
pánev,saucepan,,
bolestivé,painful,,
titulek,headline,,
atletický,athletic,,
přepracování,overwork,,
historický,historic,,
poměr,proportion,,
zásobník,bin,,
historik,historian,,
učitel,schoolteacher,,
sken,scan,,
účtovat,bill,,
předškolní,preschool,,
škrábnutí,scratch,,
obvykle,generally,,
generovat,generate,,
zasedání,session,,
štědrý,generous,,
prostý,plain,,
sloužit,service,,
