czech,english,,
plastový,plastic,,
zasadit,plant,,
oděv,garment,,
hrnčířství,pottery,,
usadit,settle,,
osadník,settler,,
vyrovnání,settlement,,
plánovat,plan,,
nastavení,setting,,
chudoba,poverty,,
prášek,powder,,
trubka,pipe,,
zbožnost,piety,,
praktický,practical,,
koláč,pie,,
zatčení,arrest,,
klouzat,glide,,
aspirin,aspirin,,
zatknout,arrest,,
chvála,praise,,
záblesk,glimpse,,
záblesk,glint,,
výběr,pick,,
fyzika,physics,,
globální,global,,
uspořádání,arrangement,,
pohlédnout,glance,,
pohled,glance,,
oddělit,separate,,
oddělení,separation,,
polštář,pillow,,
borovice,pine,,
šiška,pine,,
ananas,pineapple,,
vážné,serious,,
zeměpis,geography,,
zeměpisné,geographical,,
geologie,geology,,
gesto,gesture,,
mezera,gap,,
připíchnout,pin,,
obří,giant,,
sekvence,sequence,,
nadaný,gifted,,
chichotat se,giggle,,
zázvor,ginger,,
žirafa,giraffe,,
zrudnout,blush,,
