czech,english,grammar_chunk_id,block_id,note_id
tancovat,dance,,,
dělat,do,,,
každý,each,,,
povolání,job,,,
život,life,,,
osoba,person,,,
připravený,ready,,,
schopný,able,,,
já nejsem,I am not,3,8,
ty nejsi,you are not,3,8,
on není,he is not,3,8,
ona není,she is not,3,8,
to není,it is not,3,8,
my nejsme,we are not,3,8,
vy nejste,you are not,3,8,
oni nejsou,they are not,3,8,
ale,but,,,
sen,dream,,,
pro,for,,,
uvnitř,inside,,,
nyní,now,,,
nebo,or,,,
obrázek,picture,,,
před,before,,,
já nejsem (zk.),I'm not,4,9,
ty nejsi (zk.),you aren't,4,9,
on není (zk.),he isn't,4,9,
ona není (zk.),she isn't,4,9,
to není (zk.),it isn't,4,9,
my nejsme (zk.),we aren't,4,9,
vy nejste (zk.),you aren't,4,9,
oni nejsou (zk.),they aren't,4,9,
řeka,river,,,
loď,ship,,,
země (pozemek),land,,,
velmi,very,,,
kino,cinema,,,
odkud,from where,,,
učit,teach,,
fotbal,football,,
Já nejsem šťastný.,I'm not happy.,4,,
Ty nejsi smutný.,You aren't sad.,4,,
On není velký.,He isn't big.,4,,
Ona není malá.,She isn't small.,4,,
To není špatné.,It isn't bad.,4,,
My nejsme mladí.,We aren't young.,4,,
Vy nejste staří.,You aren't old.,4,,
Oni nejsou vysocí.,They aren't tall.,4,,
z,of,,
vědět,know,,
vedle,next to,,
tablet,tablet,,
čepice,cap,,
moci,can,,
peníze,money,,
platit,pay,,
Já nejsem hladový.,I'm not hungry.,4,,
Ty nejsi unavená.,You aren't tired.,4,,
On není přátelský.,He isn't friendly.,4,,
Ona není naštvaná.,She isn't angry.,4,,
To není dobré.,It isn't good.,4,,
My nejsme bohatí.,We aren't rich.,4,,
Vy nejste oškliví.,You aren't ugly.,4,,
Oni nejsou krásní.,They aren't beautiful.,4,,
problém,problem,,
stejný,same,,
vidět,see,,
poslat,send,,
jako,as,,
lékař,doctor,,
najít,find,,
hra,game,,
Já nejsem slabý.,I'm not weak.,4,, 
Ty nejsi tlustý.,You aren't fat.,4,,
On není špinavý.,He isn't dirty.,4,,
Ona není čistá.,She isn't clean.,4,,
To není snadné.,It isn't easy.,4,,
My nejsme chudí.,We aren't poor.,4,,
Vy nejste bohatí.,You aren't rich.,4,,
Oni nejsou pomalí.,They aren't slow.,4,,
