czech,english,,
neuvěřitelný,incredible,,
neuvěřitelně,incredibly,,
očistit,purify,,
veřejně,publicly,,
jádro,nucleus,,
válcování,rolling,,
nikde,nowhere,,
neurčitý článek,indefinite article,,
romanopisec,novelist,,
peněženka,purse,,
chuť,appetite,,
nepřímý,indirect,,
jaderný,nuclear,,
urážlivý,offensive,,
zřícenina,ruin,,
narušit,impair,,
pokusit,attempt,,
losos,salmon,,
vlhký,humid,,
prodavač,salesman,,
otevírací,opening,,
humor,humour,,
vtipný,humorous,,
hlad,hunger,,
přísloví,proverb,,
na jevišti,onstage,,
spěšně,hurriedly,,
člověk,human,,
lidstvo,humanity,,
obrovský,huge,,
orchestr,orchestra,,
obíhat,orbit,,
ochrana,protection,,
ústní,oral,,
ochranný,protective,,
navíc,besides,,
domácnost,household,,
ohnutý,bent,,
volba,option,,
písek,sand,,
práce v domácnosti,housework,,
protest,protest,,
utlačovat,oppress,,
útlak,oppression,,
protější,opposite,,
opozice,opposition,,
sandál,sandal,,
infinitiv,infinitive,,
