czech,english,,
nástěnka,message board,,
kultivovat,reclaim,,
nákladní auto,lorry,,
nepořádek,mess,,
ztráta,loss,,
uznat,recognise,,
odmítnout,reject,,
pouhý,mere,,
pouze,merely,,
loterie,lottery,,
doporučit,recommend,,
obchodník,merchant,,
reproduktor,loudspeaker,,
kůra,bark,,
chaotický,messy,,
vztah,relation,,
mírný,mild,,
středního věku,middle-aged,,
játra,liver,,
hlaveň,barrel,,
obnovit,rebuild,,
příbuzný,relative,,
poměrný,relative,,
poměrně,relatively,,
odvolat,recall,,
umístění,location,,
uzamknout,lock,,
chata,lodge,,
log,log,,
logo,logo,,
lokalizovat,locate,,
prosperita,prosperity,,
vyzařovat,radiate,,
záření,radiation,,
svetr,jumper,,
shnilý,rotten,,
překážka,obstacle,,
pulovr,pullover,,
čerpadlo,pump,,
pozorovat,observe,,
pozorování,observation,,
objekt,object,,
objektivní,objective,,
námitka,objection,,
potrestat,punish,,
trest,punishment,,
incident,incident,,
včetně,including,,
