czech,english,block_id,grammar_chunk_id
triumf,triumph,,
přijmout,adopt,,
oříznout,trim,,
spustit,trigger,,
trend,trend,,
obrovský,tremendous,,
třást se,tremble,,
léčit,treat,,
zacházení,treatment,,
cestovní kancelář,travel agent,,
doprava,transport,,
přeprava,transportation,,
přeložit,translate,,
přechodný,transitional,,
transformovat,transform,,
transformace,transformation,,
převádět,transfer,,
rozkošný,adorable,,
stezka,trail,,
odpadky,trash,,
depresivní,depressed,,
podpůrný,supportive,,
kurz,exchange rate,,
obohatit,enrich,,
