czech,english,block_id,grammar_chunk_id
půda,soil,,
elektrický,electrical,,
elektřina,electricity,,
elektron,electron,,
elektronický,electronic,,
prvek,element,,
průlom,breakthrough,,
loket,elbow,,
odstranit,eliminate,,
ztrapnit,embarrass,,
ztrapněn,embarrassed,,
rozpaky,embarrassment,,
emoce,emotion,,
emocionální,emotional,,
citově,emotionally,,
společensky,socially,,
prsa,breast,,
bezdechý,breathless,,
ambiciózní,ambitious,,
ekologický,ecological,,
nějak,somehow,,
ekologie,ecology,,
ekonomika,economy,,
hospodářský,economic,,
