czech,english,block_id,grammar_chunk_id
kanál,canal,,
nádrž,tank,,
kategorie,category,,
kategorizovat,categorise,,
klimatizace,air conditioning,,
hovorný,talkative,,
letectvo,air force,,
chutný,tasty,,
neopatrný,careless,,
nedbale,carelessly,,
neopatrnost,carelessness,,
dočasný,temporary,,
zmírnit,temper,,
pokladník,teller,,
dohoda,agreement,,
zemědělství,agriculture,,
zemědělský,agricultural,,
telegram,telegram,,
telekomunikace,telecommunications,,
maličký,tiny,,
technologický,technological,,
vtipálek,tease,,
slza,tear,,
týmová práce,teamwork,,
