czech,english,block_id,grammar_chunk_id
pára,steam,,
bránit,defend,,
obránce,defender,,
obrana,defence,,
nedostatečný,deficient,,
nedostatek,deficiency,,
definovat,define,,
určitý,definite,,
určitý člen,definite article,,
rozhodně,definitely,,
definice,definition,,
porazit,defeat,,
kemp,campsite,,
zvědavý,curious,,
zvědavě,curiously,,
zvědavost,curiosity,,
spálit,burn,,
hořící,burning,,
ponorka,submarine,,
copyright,copyright,,
podvědomý,subconscious,,
stylový,stylish,,
omráčit,stun,,
ohromující,stunning,,
