czech,english,block_id,grammar_chunk_id
zajistit,ensure,,
konferenciér,entertainer,,
nadšení,enthusiasm,,
nadšenec,enthusiast,,
nadšený,enthusiastic,,
celý,entire,,
požitek,enjoyment,,
zcela,entirely,,
vstup,entry,,
životního prostředí,environmental,,
ekolog,environmentalist,,
rovnost,equality,,
stejně,equally,,
zařízení,equipment,,
éra,era,,
kýchnutí,sneeze,,
kuřák,smoker,,
příjemný,enjoyable,,
inženýrství,engineering,,
říše,empire,,
zaměstnat,employ,,
zaměstnanost,employment,,
umožnit,enable,,
uzavřít,enclose,,
