czech,english,block_id,grammar_chunk_id
nepřetržitě,continuously,,
naopak,contrary,,
přispět,contribute,,
příspěvek,contribution,,
kontroverze,controversy,,
kontroverzní,controversial,,
alergický,allergic,,
nahradit,substitute,,
náhrada,substitute,,
přesvědčit,convince,,
rada,council,,
poradenství,counselling,,
počet,count,,
kritický,critical,,
proudit,stream,,
proud,stream,,
jahoda,strawberry,,
plodina,crop,,
přechod,crossing,,
sláma,straw,,
rozcestí,crossroads,,
vrána,crow,,
krutý,cruel,,
strategický,strategic,,
