czech,english,block_id,grammar_chunk_id
šatník,wardrobe,,
oddělení,ward,,
známost,acquaintance,,
brázda,wake,,
vidět,view,,
videoklip,video clip,,
vítězství,victory,,
nutkání,urge,,
nahoru,upward,,
aktuální,up-to-date,,
nahoru,upstairs,,
horní,upper,,
nahrát,upload,,
povznesený,uplifted,,
aktualizovat,update,,
indisponovaný,unwell,,
nežádoucí,unwanted,,
neobvykle,unusually,,
neuklizený,untidy,,
nesouvisející,unrelated,,
nepředvídatelné,unpredictable,,
rozbalit,unpack,,
nešťastný,unlucky,,
nepravděpodobné,unlikely,,
