czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
vázaný,bound,bˈaʊnd,bound.opus,188000,,,,,True,188
příznivý,favourable,fˈeɪvɚɹəbəl,favourable.opus,188001,,,,,True,188
odskočit,bounce,bˈaʊns,bounce.opus,188002,,,,,True,188
fax,fax,fˈæks,fax.opus,188003,,,,,True,188
hedvábí,silk,sˈɪlk,silk.opus,188004,,,,,True,188
svátek,feast,fˈiːst,feast.opus,188005,,,,,True,188
podobnost,similarity,sˌɪmɪlˈæɹᵻɾi,similarity.opus,188006,,,,,True,188
jihozáp,southwest,saʊθwˈɛst,southwest.opus,188007,,,,,True,188
lišit,differ,dˈɪfɚ,differ.opus,188008,,,,,True,188
katastrofa,disaster,dɪzˈæstɚ,disaster.opus,188009,,,,,True,188
dialog,dialogue,dˈaɪəlɑːɡ,dialogue.opus,188010,,,,,True,188
katastrofální,disastrous,dɪzˈæstɹəs,disastrous.opus,188011,,,,,True,188
vytočit telefon,dial,dˈaɪəl,dial.opus,188012,,,,,True,188
designový,designer,dɪzˈaɪnɚ,designer.opus,188013,,,,,True,188
skok dolů,dive,dˈaɪv,dive.opus,188014,,,,,True,188
dokumentární,documentary,dˌɑːkjuːmˈɛntɚɹi,documentary.opus,188015,,,,,True,188
odradit,discourage,dɪskˈɜːɹɪdʒ,discourage.opus,188016,,,,,True,188
objev,discovery,dɪskˈʌvɚɹi,discovery.opus,188017,,,,,True,188
rozdělit,split,splˈɪt,split.opus,188018,,,,,True,188
brokolice,broccoli,bɹˈɑːkəli,broccoli.opus,188019,,,,,True,188
zobrazit,display,dɪsplˈeɪ,display.opus,188020,,,,,True,188
rušení,disturbance,dɪstˈɜːbəns,disturbance.opus,188021,,,,,True,188
odhodlání,determination,dɪtˌɜːmᵻnˈeɪʃən,determination.opus,188022,,,,,True,188
rozvoj,development,dɪvˈɛləpmənt,development.opus,188023,,,,,True,188
