czech,english,block_id,grammar_chunk_id
škrtit,choke,,
meč,sword,,
křesťan,Christian,,
chronologie,chronology,,
chronologický,chronological,,
smát se,chuckle,,
oteklý,swollen,,
tele,calf,,
vypočítat,calculate,,
kalkulačka,calculator,,
neustále,constantly,,
přepnout,switch,,
kruhový,circular,,
cirkus,circus,,
občanství,citizenship,,
výpočet,calculation,,
civilní,civil,,
civilizace,civilisation,,
tvrzení,claim,,
letecká společnost,airline,,
přepínač,switch,,
představovat,constitute,,
ústava,constitution,,
postavit,construct,,
