czech,english,block_id,grammar_chunk_id
důvěryhodný,trustworthy,,
nejistota,uncertainty,,
trubka,trumpet,,
nejasný,unclear,,
odhalit,uncover,,
bez zájmu,uninterested,,
neslýchaný,unheard,,
nepřátelský,unfriendly,,
nešťastný,unfortunate,,
rozvinout,unfold,,
nevhodný,unfit,,
nespravedlivě,unfairly,,
neočekávané,unexpected,,
nečekaně,unexpectedly,,
nezaměstnanost,unemployment,,
nezaměstnaný,unemployed,,
svléknout,undress,,
vrátit zpět,undo,,
spodky,underpants,,
pod,underneath,,
podstoupit,undergo,,
nezletilý,underage,,
neovladatelný,uncontrollable,,
přijetí,admission,,
