czech,english,block_id,grammar_chunk_id
vázaný,bound,,
příznivý,favourable,,
odskočit,bounce,,
fax,fax,,
hedvábí,silk,,
svátek,feast,,
podobnost,similarity,,
jihozáp,southwest,,
lišit,differ,,
katastrofa,disaster,,
dialog,dialogue,,
katastrofální,disastrous,,
vytočit telefon,dial,,
designový,designer,,
skok dolů,dive,,
dokumentární,documentary,,
odradit,discourage,,
objev,discovery,,
rozdělit,split,,
brokolice,broccoli,,
zobrazit,display,,
rušení,disturbance,,
odhodlání,determination,,
rozvoj,development,,
