czech,english,block_id,grammar_chunk_id
chemie,chemistry,,
příznak,symptom,,
milovat,cherish,,
sympatie,sympathy,,
komoda,chest of drawers,,
žvýkačka,chewing gum,,
kočár,chariot,,
uklidnit,calm,,
účtovat,charge,,
charakterizovat,characterise,,
talentovaný,talented,,
osobnost,celebrity,,
buňka,cell,,
příběh,tale,,
vzlet,take-off,,
s sebou,takeaway,,
ústřední topení,central heating,,
obřad,ceremony,,
jistota,certainty,,
náročný,challenging,,
kanál,channel,,
chaos,chaos,,
tableta,tablet,,
velbloud,camel,,
