czech,english,block_id,grammar_chunk_id
velryba,whale,,
mokřad,wetland,,
na západ,westward,,
dobře oblečený,well-dressed,,
zpráva,account,,
účetní,accountant,,
podivný,weird,,
přesnost,accuracy,,
přesný,accurate,,
přesně,accurately,,
webkamera,webcam,,
předpověď počasí,weather forecast,,
obvinit,accuse,,
zbraň,weapon,,
slabost,weakness,,
kdykoli,whenever,,
náhodné,accidental,,
náhodou,accidentally,,
kdekoli,wherever,,
surfování,windsurfing,,
čelní sklo,windscreen,,
akademie,academy,,
akademický,academic,,
ochota,willingness,,
