czech,english,block_id,grammar_chunk_id
oprava,correction,,
klopýtnutí,stumble,,
plněné,stuffed,,
studio,studio,,
příspěvek,allowance,,
uvíznutý,stuck,,
tvrdohlavý,stubborn,,
bavlna,cotton,,
boj,struggle,,
kašel,cough,,
prasknutí,burst,,
lupič,burglar,,
podstatný,substantial,,
sdělit,convey,,
konstrukce,construction,,
trpět,suffer,,
konzumovat,consume,,
spotřebitel,consumer,,
spotřeba,consumption,,
náhle,suddenly,,
spokojený,content,,
kontinuální,continual,,
neustále,continually,,
soustavné,continuous,,
