czech,english,block_id,grammar_chunk_id
setkání,encounter,,
telenovela,soap opera,,
povzbuzení,encouragement,,
povzbudivý,encouraging,,
encyklopedie,encyclopaedia,,
nekonečný,endless,,
vydržet,endure,,
chumelenice,snowstorm,,
zapojit,engage,,
zasnoubený,engaged,,
uniknout,escape,,
esence,essence,,
nepatrný,slight,,
zkouška,examination,,
přezkoumat,examine,,
zkoušející,examiner,,
pobočka,branch,,
rukáv,sleeve,,
excelence,excellence,,
přebytek,excess,,
vyměnit,exchange,,
vzrušeně,excitedly,,
vzrušení,excitement,,
výhradní,exclusive,,
