czech,english,block_id,grammar_chunk_id,
zajímavý,interesting,,,
dlouhý,long,,,
pohybovat se,move,,,
ven,out,,,
stránka,page,,,
dosáhnout,reach,,,
pod,under,,,
do,into,,,
z,out of,,,
skrz,through,,,
odpočívat,rest,,,
nastavit,set,,,
měl by,should,,,
nahoru,up,,,
věk,age,,,
protože,because,,,
kamera,camera,,,
šaty,dress,,,
zdarma,free,,,
nemocný,ill,,,
jako,like,,,
pamatovat,remember,,,
studium,study,,,
také,also,,,
určitý člen,the,19,11,
neurčitý člen,"a, an",19,11,
Jsem učitel.,I'm a teacher.,19,11,
Jsem ten učitel.,I'm the teacher.,19,11,
Jsou učitelé.,They're teachers.,19,11,
Jsou to ti učitelé.,They're the teachers.,19,11,
Toto je voda.,This is water.,19,11,
Toto je sklenice vody.,This is a glass of water.,19,11,
Toto jsou sklenice vody.,These are glasses of water.,19,11,
