czech,english,,
deštný prales,rainforest,,
laboratoř,laboratory,,
zkoumat,research,,
výzkumník,researcher,,
bolest zad,backache,,
bláto,mud,,
žebřík,ladder,,
jehněčí,lamb,,
batoh,backpack,,
batůžkář,backpacker,,
truchlit,mourn,,
vrchol hory,mountaintop,,
zachránit,rescue,,
přistát,land,,
cestovat,backpacking,,
hnutí,movement,,
lůžko,bedside,,
základ,basis,,
zapalovač,lighter,,
holý,bare,,
rejstřík,register,,
zaregistrovat,register,,
registrace,registration,,
mechanik,mechanic,,
mechanické,mechanical,,
kraj,region,,
regionální,regional,,
změřit,measure,,
měření,measurement,,
mezitím,meanwhile,,
magický,magical,,
kouzelník,magician,,
velkolepý,magnificent,,
grilovat,barbecue,,
poslat poštou,mail,,
zotavit se,recover,,
zotavení,recovery,,
poštovní schránka,mailbox,,
přemýšlet,meditate,,
rozjímání,meditation,,
opravit,mend,,
memorovat,memorise,,
regulovat,regulate,,
nařízení,regulation,,
památný,memorable,,
členství,membership,,
loajální,loyal,,
věrnost,loyalty,,
