czech,english,block_id,grammar_chunk_id,
další,next,,,
pozice,position,,,
současný,present,,,
záznam,record,,,
sladký,sweet,,,
zkusit,try,,,
policie,police,,,
svět,world,,,
chytit,catch,,,
roh,corner,,,
zájem,interest,,,
část,part,,,
prezident,president,,,
kolo,round,,,
několik,several,,,
zvuk,sound,,,
příběh,story,,,
téměř,almost,,,
ovládat,control,,,
milý,dear,,,
šéf,chief,,,
pozvat,invite,,,
pozdní,late,,,
většina,most,,,
ráno,in the morning,28,20,
odpoledne,in the afternoon,28,20,
večer,in the evening,28,20,
v lednu,in January,28,20,
v létě,in summer,28,20,
v zimě,in winter,28,20,
v roce 2020,in 2020,28,20,
v 19. století,in the 19th century,28,20,
v pondělí,on Monday,29,21,
v úterý,on Tuesday,29,21,
v pátek ráno,on Friday morning,29,21,
1. ledna,on January 1st,29,21,
na moje narozeniny,on my birthday,29,21,
na Štědrý den,on Christmas Eve,29,21,
o víkendu,on the weekend,29,21,
ve všední dny,on weekdays,29,21,
v 7 hodin,at seven o’clock,30,22,
v 8:30,at 8:30,30,22,
v poledne,at noon,30,22,
o půlnoci,at midnight,30,22,
v noci,at night,30,22,
za úsvitu,at dawn,30,22,
za soumraku,at dusk,30,22,
v době oběda,at lunchtime,30,22,
