czech,english,block_id,grammar_chunk_id,
preferovat,prefer,,,
vložit,put,,,
kámen,stone,,,
takový,such,,,
myslet,think,,,
rozumět,understand,,,
navštívit,visit,,,
kolem,around,,,
volat,call,,,
řezat,cut,,,
večeře,dinner,,,
dolů,down,,,
vysvětlit,explain,,,
dostat,get,,,
zajímavý,interesting,,,
dlouhý,long,,,
pohybovat se,move,,,
ven,out,,,
stránka,page,,,
dosáhnout,reach,,,
pod,under,,,
do,into,,,
z,out of,,,
skrz,through,,,
kočky,cats,14,8,
psy,dogs,14,8
domy,houses,14,8,
stoly,tables,14,8,
děti,children,14,8,
myši,mice,14,8,
muži,men,14,8,
ženy,women,14,8,
mnoho (nepočítatelných),much,15,8,
mnoho (počítatelných),many,15,8,
málo (nepočítatelných),little,15,8,
málo (počítatelných),few,15,8,
trochu (nepočítatelných),a little,15,8,
několik (počítatelných),a few,15,8,
ovce (pl.),sheep,,8,
ryby (pl.),fish,,8,
chodidla,feet,,8,
zub,tooth,,8,
mnoho vody,much water,16,8,
mnoho aut,many cars,16,8,
málo cukru,little sugar,16,8,
málo knih,few books,16,8,
trochu mléka,a little milk,16,8,
několik studentů,a few students,16,8,
