czech,english,grammar_chunk_id,block_id,note_id
ale,but,,,
sen,dream,,,
pro,for,,,
uvnitř,inside,,,
nyní,now,,,
nebo,or,,,
obrázek,picture,,,
před,before,,,
řeka,river,,,
loď,ship,,,
země (pozemek),land,,,
velmi,very,,,
kino,cinema,,,
odkud,from where,,,
učit,teach,,,
fotbal,football,,,
čekat,wait,,,
znovu,again,,,
dokument,document,,,
oheň,fire,,,
dát,give,,,
šance,chance,,,
informace,information,,,
často,often,,,
Kdo jsem?,Who am I?,7,13,
Kdo jsi?,Who are you?,7,13,
Kdo je tady?,Who's here?,7,13,
Kdo je tam?,Who's there?,7,13,
Kdo je doma?,Who's at home?,7,13,
Kdo je uvnitř?,Who's inside?,7,13,
Kdo je připravený?,Who's ready?,7,13,
Kdo jsme?,Who are we?,7,13,
Co je to?,What is it?,7,,
Co je toto?,What's this?,7,,
Co je tam?,What's there?,7,,
Co je uvnitř?,What's inside?,7,,
Co je špatně?,What's wrong?,7,,
Co je nové?,What's new?,7,,
Kde jsi?,Where are you?,7,,
Kde je on?,Where's he?,7,,
Kde je ona?,Where's she?,7,,
Kde jsme?,Where are we?,7,,
Odkud jsi?,Where are you from?,7,,
Proč je naštvaný?,Why's he angry?,7,,
Jak se máš?,How are you?,7,,
Kdo je tento chlapec?,Who's this boy?,7,,
Jaká je škola?,How's school?,7,,
Jaký je život?,How's life?,7,,
