czech,english,grammar_id
výrobce,maker,
make-up,make-up,
výběr,choice,
cvrlikání,chirp,
brada,chin,
šimpanz,chimpanzee,
lyrika,lyric,
stát (peníze),cost,
budík,alarm clock,
odpověď,reply,
advokát,lawyer,
kontrast,contrast,
lenost,laziness,
záliv,bay,
kontinent,continent,
kontext,context,
keř,bush,
řízení,control,
kontejner,container,
kontaktovat,contact,
kontakt,contact,
přivlastnit si,appropriate,
baterie,battery,
nejméně,least,
kůže,leather,
náhlý,sudden,
uspět,succeed,
pohodlí,convenience,
výzkum,research,
svítilna,lamp,
studie,study,
povolit,allow,
věc,stuff,
krajina,landscape,
styl,style,
pruh,lane,
hořet,burn,
pohřbít,bury,
sporák,cooker,
autobusové nádraží,bus station,
Kdy se chystáš odejít?,When are you going to leave?,42
Kdo ti to vysvětlí?,Who is going to explain it to you?,42
Proč se chystají stěhovat?,Why are they going to move?,42
Kde budeš bydlet?,Where are you going to live?,42
Jak se tam dostaneme?,How are we going to get there?,42
Co budeš dělat zítra?,What are you going to do tomorrow?,42
Kdy začne pršet?,When is it going to start raining?,42
Kdo ti pomůže?,Who is going to help you?,42
