czech,english,block_id,grammar_chunk_id
elegantní,graceful,,
přiřadit,assign,,
úkol,assignment,,
nádherný,gorgeous,,
zabavit,seize,,
přízrak,phantom,,
lékárna,pharmacy,,
sláva,glory,,
fotokopie,photocopy,,
modlitba,prayer,,
brankář,goalkeeper,,
drahocenný,precious,,
bohyně,goddess,,
fénix,phoenix,,
filozofie,philosophy,,
hráč golfu,golfer,,
starožitnost,antique,,
samoobsluha,self-service,,
filozof,philosopher,,
jev,phenomenon,,
dobrota,goodness,,
sobecký,selfish,,
předpona,prefix,,
těhotná,pregnant,,
