czech,english,block_id,grammar_chunk_id
uprchlý,runaway,,
napodobit,imitate,,
omluva,apology,,
bezprostřední,immediate,,
veřejnost,public,,
oficiálně,officially,,
přistěhovat se,immigrate,,
přistěhovalectví,immigration,,
zdánlivý,apparent,,
hromadná doprava,public transport,,
mastný,oily,,
staromódní,old-fashioned,,
ignorovat,ignore,,
psychologický,psychological,,
bezpečnost,safety,,
bezpečně,safely,,
prospěch,benefit,,
lední hokej,ice hockey,,
pokud,provided,,
bruslení na ledě,ice skating,,
záruka,safeguard,,
přitahovat,attract,,
safari,safari,,
pod,beneath,,
