czech,english,block_id,grammar_chunk_id
východ slunce,sunrise,,
dotčený,concerned,,
uzavřít,conclude,,
závěr,conclusion,,
sluneční hodiny,sundial,,
chování,conduct,,
opalovat se,sunbathe,,
vrchol,summit,,
podezřelý,suspect,,
treska,cod,,
podezření,suspicion,,
charita,charity,,
kouzlo,charm,,
štvanice,chase,,
bavit se,chat,,
chat show,chat show,,
klid,calmness,,
odbavení,check-in,,
pokladna,checkout,,
systematický,systematic,,
veselý,cheerful,,
syndrom,syndrome,,
chemikálie,chemical,,
chemik,chemist,,
