czech,english,block_id,grammar_chunk_id
úrok,interest,,
přezdívka,nickname,,
interakce,interaction,,
interagovat,interact,,
instance,instance,,
množství,quantity,,
místo,instead of,,
ústav,institute,,
k dispozici,available,,
avenue,avenue,,
poučit,instruct,,
návod,instruction,,
instruktor,instructor,,
přepsat,rewrite,,
odměna,reward,,
jídelna,canteen,,
zamýšlet,intend,,
intenzivní,intense,,
intenzivní,intensive,,
záměr,intention,,
záměrně,intentionally,,
pojištění,insurance,,
dojem,impression,,
noční život,nightlife,,
