czech,english,block_id,grammar_chunk_id
jehla,needle,,
izolovat,isolate,,
izolace,isolation,,
zapojit,involve,,
zapojený,involved,,
přístup,approach,,
převyprávět,retell,,
nicméně,nevertheless,,
povědomí,awareness,,
neutrální,neutral,,
síť,network,,
invaze,invasion,,
netto,net,,
ohlížet se do minulosti,retrospect,,
nervozita,nervousness,,
investovat,invest,,
otazník,question mark,,
vyšetřování,investigation,,
dotazník,questionnaire,,
fronta,queue,,
pozvání,invitation,,
vyvstat,arise,,
nedobrovolně,involuntarily,,
odpočinek,rest,,
