czech,english,block_id,grammar_chunk_id
jehněčí,lamb,,
batoh,backpack,,
batůžkář,backpacker,,
truchlit,mourn,,
vrchol hory,mountaintop,,
zachránit,rescue,,
přistát,land,,
batůžkování,backpacking,,
hnutí,movement,,
lůžko,bedside,,
základ,basis,,
zapalovač,lighter,,
holý,bare,,
rejstřík,register,,
zaregistrovat,register,,
registrace,registration,,
mechanik,mechanic,,
mechanické,mechanical,,
kraj,region,,
regionální,regional,,
změřit,measure,,
měření,measurement,,
mezitím,meanwhile,,
magický,magical,,
