czech,english,block_id,grammar_chunk_id
pomocný,auxiliary,,
u silnice,roadside,,
severozápad,northwest,,
severozápadní,northwestern,,
hádanka,puzzle,,
infekce,infection,,
tleskat,applaud,,
robot,robot,,
jednotlivec,individual,,
notoricky známý,notorious,,
nepřímo,indirectly,,
přírůstek,increase,,
ošetřovat,nurse,,
početné,numerous,,
stále více,increasingly,,
čistý,pure,,
neuvěřitelný,incredible,,
neuvěřitelně,incredibly,,
očistit,purify,,
veřejně,publicly,,
jádro,nucleus,,
válcování,rolling,,
nikde,nowhere,,
neurčitý článek,indefinite article,,
