czech,english,block_id,grammar_chunk_id
při vědomí,conscious,,
sebevražda,suicide,,
následně,consequently,,
zachování,conservation,,
konzervativní,conservative,,
značný,considerable,,
ohleduplnost,consideration,,
přípona,suffix,,
dostatečný,sufficient,,
souhláska,consonant,,
důvěra,confidence,,
shrnout,summarise,,
podobně,alike,,
kompliment,compliment,,
složení,composition,,
sloučenina,compound,,
pověra,superstition,,
kompromis,compromise,,
alkohol,alcohol,,
lepší,superior,,
alkoholický,alcoholic,,
západ slunce,sunset,,
soustředění,concentration,,
pojem,concept,,
