czech,english,block_id,grammar_chunk_id
smutek,sadness,,
posvátný,sacred,,
identita,identity,,
průkaz totožnosti,identity card,,
idiom,idiom,,
modla,idol,,
pospíchat,rush,,
atrakce,attraction,,
riziko,risk,,
severovýchodní,northeastern,,
okolí,neighbourhood,,
jednání,negotiation,,
žehlit,iron,,
zachovat,retain,,
žehlení,ironing,,
nepravidelný,irregular,,
maloobchodní,retail,,
vyjednávat,negotiate,,
vyplývat,result,,
dráždit,irritate,,
omezit,restrict,,
víra,belief,,
obnovit,restore,,
ostrůvek,isle,,
