czech,english,block_id,grammar_chunk_id
vlhkost,moisture,,
příděl,ration,,
lhář,liar,,
poznámka,remark,,
porozumění,understanding,,
nedorozumění,misunderstanding,,
reagovat,react,,
mlhavý,misty,,
osvobodit,liberate,,
osvobození,liberation,,
architekt,architect,,
knihovník,librarian,,
mise,mission,,
lhát,lie,,
plavčík,lifeguard,,
celoživotní,lifelong,,
váhy,balance,,
zbytek,remainder,,
výtah,lift,,
uvést v omyl,mislead,,
zarovnat,level,,
hlávkový salát,lettuce,,
pálka,bat,,
mixovací nádoba,mixing bowl,,
