czech,english,block_id,grammar_chunk_id
vážné,serious,,
zeměpis,geography,,
zeměpisné,geographical,,
geologie,geology,,
gesto,gesture,,
mezera,gap,,
připíchnout,pin,,
obří,giant,,
sekvence,sequence,,
nadaný,gifted,,
chichotat se,giggle,,
zázvor,ginger,,
žirafa,giraffe,,
zrudnout,blush,,
nalodit se,board,,
pocit,sensation,,
příchod,arrival,,
příjemně,pleasantly,,
ostuda,shame,,
přívětivost,friendliness,,
vlastnit,possess,,
mělký,shallow,,
zdvořile,politely,,
vlastnictví,possession,,
absolvent,graduate,,
