czech,english,block_id,grammar_chunk_id
odpadky,rubbish,,
pryž,rubber,,
vydavatel,publisher,,
dojít,occur,,
obsadit,occupy,,
mše,mass,,
rutina,routine,,
impozantní,impressive,,
příležitost,occasion,,
příležitostné,occasional,,
zaokrouhlit,round,,
nevhodné,improper,,
samozřejmě,obviously,,
nevyhovující,inconvenient,,
živina,nutrient,,
nesprávný,incorrect,,
pojem,notion,,
všimnout si,notice,,
znatelný,noticeable,,
nástěnka,noticeboard,,
uvnitř,indoors,,
autorita,authority,,
průmyslový,industrial,,
nevyhnutelný,inevitable,,
