czech,english,block_id,grammar_chunk_id
fragment,fragment,,
komentář,comment,,
komerční,commercial,,
zdravý rozum,common sense,,
běžně,commonly,,
předpokládat,suppose,,
údajně,supposedly,,
společník,companion,,
srovnání,comparison,,
podporovat,support,,
podporovatel,supporter,,
konkurenční,competitive,,
závodník,competitor,,
dokončit,complete,,
doplněk,complement,,
chirurg,surgeon,,
zcela,completely,,
chirurgie,surgery,,
čárka,comma,,
přeživší,survivor,,
přežití,survival,,
řezník,butcher,,
kolaps,collapse,,
límec,collar,,
