czech,english,block_id,grammar_chunk_id
obklopit,surround,,
okolní,surrounding,,
překvapivě,surprisingly,,
poprsí,bust,,
sloupkař,columnist,,
poplach,alarm,,
kombinovat,combine,,
kombinace,combination,,
komedie,comedy,,
komik,comedian,,
kometa,comet,,
příkaz,command,,
rakev,coffin,,
komplex,complex,,
komplikovat,complicate,,
složitý,complicated,,
potvrzení,confirmation,,
konflikt,conflict,,
matoucí,confusing,,
zmatek,confusion,,
gratuluji,congratulate,,
připojit,connect,,
spojení,connexion,,
dobýt,conquer,,
