czech,english,block_id,grammar_chunk_id
vyhledávat,search,,
vedení,guidance,,
spolupracovník,associate,,
předpokládat,assume,,
pozastavit,pause,,
vina,guilt,,
mořská voda,seawater,,
vinen,guilty,,
mořské řasy,seaweed,,
seskupení,grouping,,
tajně,secretly,,
prezentace,presentation,,
zachovat,preserve,,
zachování,preservation,,
zvláštní,peculiar,,
antikvární,second-hand,,
střední škola,secondary school,,
ženich,groom,,
přízemí,ground floor,,
krvácet,bleed,,
úzkost,anxiety,,
pauza,pause,,
kytarista,guitarist,,
vzor,pattern,,
