czech,english,block_id,grammar_chunk_id
kriminál,jail,,
odpovědný,responsible,,
znovusjednocení,reunification,,
sklenice,jar,,
poblíž,nearby,,
jazz,jazz,,
žárlivý,jealous,,
námořnická modř,navy blue,,
reagovat,respond,,
závodit,race,,
závod,race,,
odpovědnost,responsibility,,
vědom,aware,,
sjednotit,unify,,
znovu sjednotit,reunify,,
novorozený,newborn,,
směšný,ridiculous,,
inovovat,innovate,,
zlepšovatel,innovator,,
aplikace,application,,
dotaz,enquiry,,
šílený,insane,,
kvalifikovat,qualify,,
kvalifikovaný,qualified,,
