czech,english,block_id,grammar_chunk_id
kouzelník,magician,,
velkolepý,magnificent,,
grilovat,barbecue,,
poslat poštou,mail,,
zotavit se,recover,,
zotavení,recovery,,
poštovní schránka,mailbox,,
přemýšlet,meditate,,
rozjímání,meditation,,
opravit,mend,,
memorovat,memorise,,
regulovat,regulate,,
nařízení,regulation,,
památný,memorable,,
členství,membership,,
loajální,loyal,,
věrnost,loyalty,,
tát,melt,,
sotva,barely,,
zavazadla,luggage,,
záznam,recording,,
prostředí,medium,,
střední,medium,,
plíce,lung,,
