czech,english,block_id,grammar_chunk_id
částečný úvazek,part-time,,
základní škola,primary school,,
házená,handball,,
ruční,hand-held,,
zejména,particularly,,
primitivní,primitive,,
křičet,scream,,
příčestí,participle,,
zacházet s,handle,,
účastnit se,participate,,
účastník,participant,,
částečný,partial,,
podání ruky,handshake,,
zatloukat,hammer,,
především,primarily,,
vášeň,passion,,
kněz,priest,,
úzkostlivě,anxiously,,
hlídka,patrol,,
sochařství,sculpture,,
předchozí,previous,,
tělocvična,gym,,
gymnastika,gymnastics,,
pozdrav,greeting,,
