czech,english,block_id,grammar_chunk_id
motivovat,motivate,,
motivace,motivation,,
republika,republic,,
trvat,last,,
reprodukovat,reproduce,,
trvalý,lasting,,
zástupce,representative,,
opozdilec,latecomer,,
v poslední době,lately,,
namontovat,mount,,
pronajímatel,landlord,,
požadavek,requirement,,
záchrana,rescue,,
minulý,back,,
rezervace,reservation,,
laboratoř,lab,,
podobat se,resemble,,
deštný prales,rainforest,,
laboratoř,laboratory,,
zkoumat,research,,
výzkumník,researcher,,
bolest zad,backache,,
bláto,mud,,
žebřík,ladder,,
