czech,english,block_id,grammar_chunk_id
ani,nor,,
nesmysl,nonsense,,
zemětřesení,quake,,
nicméně,nonetheless,,
obyvatel,inhabitant,,
severní,northern,,
instalovat,instal,,
milovaný,beloved,,
střední,intermediate,,
aritmetický,arithmetic,,
přestávka,intermission,,
vnitřní,internal,,
mezinárodně,internationally,,
vedle,next door,,
popravit,revise,,
revize,revision,,
uznání,appreciation,,
přerušit,interrupt,,
interval,interval,,
dotazovaný,interviewee,,
ocenit,award,,
nově,newly,,
nováček,newcomer,,
zavedení,introduction,,
