czech,english,,
sázka,bet,,
hrozný,horrible,,
organické,organic,,
promiňte,pardon,,
princip,principle,,
hořké,bitter,,
orgán,organ,,
připojit,attach,,
rodičovský,parental,,
obyčejný,ordinary,,
vyděšený,scared,,
vyděsit,scare,,
pověsit,hang,,
závěsný,hanging,,
řád,order,,
spořádaný,orderly,,
vysoce,highly,,
překonat,overcome,,
vyzdvihnout,highlight,,
pokrok,progress,,
šikovný,handy,,
parkoviště,parking,,
skus,bite,,
naprogramovat,programme,,
organismus,organism,,
děsit,horrify,,
profesor,professor,,
pracovitý,hard-working,,
původ,origin,,
skrytý,hidden,,
skórovat,score,,
přes noc,overnight,,
strádání,hardship,,
paralyzovat,paralyse,,
bilingvní,bilingual,,
výtisk,print,,
organizace,organisation,,
přístav,harbour,,
spokojenost,satisfaction,,
satelit,satellite,,
přešťastný,overjoyed,,
profese,profession,,
poklop,hatch,,
spokojený,satisfied,,
vnější,outward,,
bez domova,homeless,,
srdceryvný,hearted,,
učenec,scholar,,
