czech,english,block_id,grammar_chunk_id
cizinec,stranger,,
laskavě,kindly,,
personál,staff,,
kilo,kilo,,
kilogram,kilogramme,,
krém,cream,,
šílený,crazy,,
silně,strongly,,
stávka,strike,,
krytý,indoor,,
zločin,crime,,
okrást,rob,,
rozvíjet,develop,,
kriket,cricket,,
rozvinutý,developed,,
loupež,robbery,,
zabiják,killer,,
království,kingdom,,
červenka,robin,,
venkov,countryside,,
struktura,structure,,
stvoření,creature,,
krása,beauty,,
tvořivost,creativity,,
já nebyl,I wasn't,53,43
ty jsi nebyl,you weren't,53,43
on nebyl,he wasn't,53,43
ona nebyla,she wasn't,53,43
ono nebylo,it wasn't,53,43
my jsme nebyli,we weren't,53,43
vy jste nebyli,you weren't,53,43
oni nebyli,they weren't,53,43
Včera jsem nebyl připravený na test.,I wasn't ready for the test yesterday.,,43
Po cestě jsi nebyl unavený.,You weren't tired after the journey.,,43
"On nebyl doma, byl v práci.",He wasn't at home; he was at work.,,43
Ona nebyla šťastná z té zprávy.,She wasn't happy about the news.,,43
Včera venku nebyla taková zima.,It wasn't that cold outside yesterday.,,43
Na schůzku jsme nepřišli pozdě.,We weren't late for the meeting.,,43
Minulý týden jste nebyli zaneprázdnění.,You weren't busy last week.,,43
"Nebyli venku, byli uvnitř.",They weren't outside; they were inside.,,43
