czech,english,block_id,topic_id
smutný,sad,,
špatný,bad,,
rychlý,fast,,
pomalý,slow,,
vysoký,tall,,
krátký,short,,
světlý,light,,
tmavý,dark,,
mladý,young,,
starý,old,,
snadný,easy,,
tvrdý,hard,,
blízko,near,,
daleko,far,,
hlava,head,,
vlasy,hair,,
oko,eye,,
ucho,ear,,
nos,nose,,
ústa,mouth,,
zuby,teeth,,
jazyk (v puse),tongue,,
krk,neck,,
ruka,hand,,
paže,arm,,
noha,leg,,
chodidlo,foot,,
prst,finger,,
prst (na noze),toe,,
břicho,stomach,,
záda,back,,
chleba,bread,,
rýže,rice,,
voda,water,,
mléko,milk,,
jablko,apple,,
banán,banana,,
pomeranč,orange,,
mango,mango,,
maso,meat,,
