czech,english,block_id,
sto,hundred,,
tisíc,thousand,,
milion,million,,
matka,mother,,
otec,father,,
bratr,brother,,
sestra,sister,,
syn,son,,
dcera,daughter,,
rodiče,parents,,
strýc,uncle,,
teta,aunt,,
bratranec,cousin,,
sestřenice,cousin,,
babička,grandmother,,
dědeček,grandfather,,
máma,mum,,
táta,dad,,
babi,grandma,,
děda,grandpa,,
červená,red,,
modrá,blue,,
zelená,green,,
žlutá,yellow,,
černá,black,,
bílá,white,,
hnědá,brown,,
růžová,pink,,
oranžová,orange,,
fialová,purple,,
šedá,grey,,
zlatá,gold,,
stříbrná,silver,,
jíst,eat,,
pít,drink,,
jít,go,,
přijít,come,,
hrát,play,,
číst,read,,
psát,write,,
