czech,english,block_id,topic_id
běžet,run,,
chodit,walk,,
mluvit,talk,,
spát,sleep,,
pracovat,work,,
sedět,sit,,
stát,stand,,
otevřít,open,,
zavřít,close,,
koupit,buy,,
prodat,sell,,
vařit,cook,,
týden,week,,
měsíc (kalendářní),month,,
rok,year,,
dnes,today,,
zítra,tomorrow,,
včera,yesterday,,
hodina,hour,,
minuta,minute,,
sekunda,second,,
kniha,book,,
pero (psací),pen,,
stůl,table,,
židle,chair,,
škola,school,,
učitel,teacher,,
žák,pupil,,
taška,bag,,
dům,house,,
auto,car,,
telefon,phone,,
postel,bed,,
počítač,computer,,
hodiny (přístroj),clock,,
horký,hot,,
studený,cold,,
velký,big,,
malý,small,,
šťastný,happy,,
