czech,english,block_id,grammar_chunk_id,note_id,topic_id
dopis,letter,,,,
věc,thing,,,,
žádný,none,,,,
nic,nothing,,,,
nějaký,some,,,,
něco,something,,,,
jakýkoliv,any,,,,
cokoliv,anything,,,,
který,which,,,,
čí,whose,,,,
z,from,,,,
jméno,name,,,,
špatně,wrong,,,,
čas,time,,,,
toto,this,,,,
tamto,that,,,,
tyto,these,,,,
ti,those,,,,
student,student,,,,
žít,live,,,,
vzduch,air,,,,
sklad,store,,,,
v,in,,,,
na,on,,,,
na,at,,,,
k,to,,,,
plakat,cry,,,,
vždy,always,,,,
každý,every,,,,
nikdy,never,,,,
všechno,everything,,,,
tělo,body,,,,
všichni,everyone,,,,
všichni,everybody,,,,
nikdo,no one,,,,
nikdo,nobody,,,,
opatrný,careful,,,,
krabice,box,,,,
okno,window,,,,
dveře,door,,,,
