czech,english,block_id,note_id,
klobouk,hat,,,
kabát,coat,,,
bunda,jacket,,,
svetr,sweater,,,
rukavice,gloves,,,
šála,scarf,,,
pes,dog,,,
kočka,cat,,,
kráva,cow,,,
koza,goat,,,
kůň,horse,,,
ovce,sheep,,,
kuře,chicken,,,
pták,bird,,,
kachna,duck,,,
lev,lion,,,
tygr,tiger,,,
slon,elephant,,,
opice,monkey,,,
angličtina,English,,,
čeština,Czech,,,
unavený,tired,,,
hladový,hungry,,,
přítel,friend,,,
přátelský,friendly,,,
naštvaný,angry,,,
tlustý,fat,,,
hubený,thin,,,
krásný,beautiful,,,
ošklivý,ugly,,,
silný,strong,,,
slabý,weak,,,
bohatý,rich,,,
chudý,poor,,,
čistý,clean,,,
špinavý,dirty,,,
hloupý,stupid,,,
chytrý,clever,,,
zde,here,,,
nula,zero,,,
