czech,english,block_id,topic_id
ahoj,hello,,
čau,hi,,
dobrý,good,,
ráno,morning,,
odpoledne,afternoon,,
večer,evening,,
noc,night,,
den,day,,
nashledanou,goodbye,,
dobré ráno,good morning,,
dobrý večer,good evening,,
dobrou noc,good night,,
prosím,please,,
děkuji,thank you,,
omlouvám se,sorry,,
promiňte,excuse me,,
ano,yes,,
ne,no,,
být,be,,
možná,maybe,,
pondělí,Monday,1,1
úterý,Tuesday,1,1
středa,Wednesday,1,1
čtvrtek,Thursday,1,1
pátek,Friday,1,1
sobota,Saturday,1,1
neděle,Sunday,1,1
nula,zero,2,2
jedna,one,2,2
dva,two,2,2
tři,three,2,2
čtyři,four,2,2
pět,five,2,2
šest,six,2,2
sedm,seven,3,2
osm,eight,3,2
devět,nine,3,2
deset,ten,3,2
jedenáct,eleven,3,2
dvanáct,twelve,3,2
sto,hundred,,
tisíc,thousand,,
milion,million,,
miliard,billion,,
matka,mother,,
otec,father,,
bratr,brother,,
sestra,sister,,
