czech,english
"Kde je nádraží?","Where is the train station?"
"Jak se tam dostanu?","How do I get there?"
"Je to daleko?","Is it far?"
"Je to v docházkové vzdálenosti?","Is it within walking distance?"
"Který autobus tam jede?","Which bus goes there?"
"Kde si koupím jízdenku?","Where can I buy a ticket?"
"Jedna jízdenka do centra prosím.","One ticket to the city centre please."
"Kolik stojí zpáteční jízdenka?","How much is a return ticket?"
"Kdy odjíždí vlak?","When does the train leave?"
"Z jakého nástupiště odjíždí?","Which platform does it leave from?"
"Je ten vlak zpožděný?","Is the train delayed?"
"Kde mám přestoupit?","Where do I need to change?"
"Tady vystupuji.","I'm getting off here."
"Můžete mě upozornit?","Could you let me know?"
"Ztratil jsem se.","I'm lost."
"Můžete mi ukázat cestu?","Could you show me the way?"
"Hledám tuto adresu.","I'm looking for this address."
"Máte mapu?","Do you have a map?"
"Zavolám si taxi.","I'll get a taxi."
"Můžete zavolat taxi?","Could you call a taxi?"
"Odvezte mě prosím na letiště.","Please take me to the airport."
"Kolik to bude stát?","How much will it cost?"
"Jak dlouho cesta trvá?","How long does the journey take?"
"Máme ještě dost času.","We still have plenty of time."
"Musíme si pospíšit.","We need to hurry."
"Let nám odlétá v šest.","Our flight leaves at six."
"Kde je odbavení?","Where is check-in?"
"Kde je bezpečnostní kontrola?","Where is security?"
"Kde si vyzvednu zavazadlo?","Where can I collect my luggage?"
"Moje zavazadlo nedorazilo.","My luggage hasn't arrived."
"Mám jen příruční zavazadlo.","I only have hand luggage."
"Mohu si tu nechat tašku?","Can I leave my bag here?"
"Je toto místo volné?","Is this seat free?"
"Můžu si sednout k oknu?","Can I sit by the window?"
"Kdy dorazíme?","When will we arrive?"
"Už jsme tam?","Are we there yet?"
"Už jsme dorazili.","We've arrived."
"Hotel je hned za rohem.","The hotel is just around the corner."
"Mám rezervaci na jméno Novák.","I have a reservation under the name Novák."
"V kolik je odhlášení?","What time is check-out?"
"Mohu dostat klíč od pokoje?","Could I have the room key?"
"Pokoj není uklizený.","The room hasn't been cleaned."
"Klimatizace nefunguje.","The air conditioning doesn't work."
"Potřebuji další ručník.","I need another towel."
"Kde se podává snídaně?","Where is breakfast served?"
"Můžete mi doporučit nějaké místo?","Can you recommend somewhere?"
"Užij si cestu.","Have a good trip."
"Šťastnou cestu domů.","Have a safe journey home."
